coverage_id,policy_id,coverage_type,coverage_amount,annual_rider_premium,coverage_status
COV00003207,POL0002042,Base Death Benefit,650000,0.00,Active
COV00003208,POL0002043,Base Death Benefit,275000,0.00,Active
COV00003209,POL0002043,Waiver of Premium,0,39.49,Active
COV00003210,POL0002044,Base Death Benefit,400000,0.00,Active
COV00003211,POL0002044,Waiver of Premium,0,45.55,Active
COV00003212,POL0002045,Base Death Benefit,125000,0.00,Active
COV00003213,POL0002045,Waiver of Premium,0,14.52,Active
COV00003214,POL0002046,Base Death Benefit,200000,0.00,Active
COV00003215,POL0002046,Accidental Death Benefit,200000,24.00,Active
COV00003216,POL0002047,Base Death Benefit,425000,0.00,Active
COV00003217,POL0002047,Chronic Illness Rider,0,520.00,Active
COV00003218,POL0002047,Accidental Death Benefit,425000,51.00,Active
COV00003219,POL0002048,Base Death Benefit,125000,0.00,Active
COV00003220,POL0002049,Base Death Benefit,125000,0.00,Active
COV00003221,POL0002050,Base Death Benefit,175000,0.00,Active
COV00003222,POL0002050,Waiver of Premium,0,37.83,Active
COV00003223,POL0002051,Base Death Benefit,175000,0.00,Active
COV00003224,POL0002051,Waiver of Premium,0,100.13,Active
COV00003225,POL0002052,Base Death Benefit,850000,0.00,Active
COV00003226,POL0002052,Accidental Death Benefit,850000,102.00,Active
COV00003227,POL0002053,Base Death Benefit,150000,0.00,Active
COV00003228,POL0002054,Base Death Benefit,1150000,0.00,Active
COV00003229,POL0002055,Base Death Benefit,700000,0.00,Active
COV00003230,POL0002056,Base Death Benefit,550000,0.00,Active
COV00003231,POL0002057,Base Death Benefit,725000,0.00,Active
COV00003232,POL0002058,Base Death Benefit,15000,0.00,Active
COV00003233,POL0002058,Accidental Death Benefit,15000,1.80,Active
COV00003234,POL0002059,Base Death Benefit,125000,0.00,Active
COV00003235,POL0002060,Base Death Benefit,1275000,0.00,Active
COV00003236,POL0002060,Waiver of Premium,0,210.18,Active
COV00003237,POL0002061,Base Death Benefit,175000,0.00,Active
COV00003238,POL0002061,Waiver of Premium,0,46.80,Active
COV00003239,POL0002061,Accidental Death Benefit,175000,21.00,Active
COV00003240,POL0002062,Base Death Benefit,650000,0.00,Active
COV00003241,POL0002063,Base Death Benefit,1050000,0.00,Active
COV00003242,POL0002063,Waiver of Premium,0,166.93,Active
COV00003243,POL0002064,Base Death Benefit,300000,0.00,Active
COV00003244,POL0002064,Waiver of Premium,0,35.51,Active
COV00003245,POL0002065,Base Death Benefit,650000,0.00,Active
COV00003246,POL0002066,Base Death Benefit,850000,0.00,Active
COV00003247,POL0002066,Waiver of Premium,0,280.00,Active
COV00003248,POL0002067,Base Death Benefit,425000,0.00,Active
COV00003249,POL0002067,Waiver of Premium,0,258.01,Active
COV00003250,POL0002068,Base Death Benefit,400000,0.00,Active
COV00003251,POL0002069,Base Death Benefit,150000,0.00,Active
COV00003252,POL0002069,Accidental Death Benefit,150000,18.00,Active
COV00003253,POL0002070,Base Death Benefit,1150000,0.00,Active
COV00003254,POL0002071,Base Death Benefit,75000,0.00,Active
COV00003255,POL0002072,Base Death Benefit,450000,0.00,Active
COV00003256,POL0002073,Base Death Benefit,425000,0.00,Active
COV00003257,POL0002074,Base Death Benefit,2000000,0.00,Active
COV00003258,POL0002075,Base Death Benefit,100000,0.00,Active
COV00003259,POL0002076,Base Death Benefit,100000,0.00,Active
COV00003260,POL0002076,Waiver of Premium,0,50.00,Active
COV00003261,POL0002077,Base Death Benefit,550000,0.00,Active
COV00003262,POL0002078,Base Death Benefit,200000,0.00,Active
COV00003263,POL0002078,Accidental Death Benefit,200000,24.00,Active
COV00003264,POL0002079,Base Death Benefit,850000,0.00,Active
COV00003265,POL0002080,Base Death Benefit,225000,0.00,Active
COV00003266,POL0002081,Base Death Benefit,75000,0.00,Active
COV00003267,POL0002081,Accidental Death Benefit,75000,9.00,Active
COV00003268,POL0002082,Base Death Benefit,125000,0.00,Active
COV00003269,POL0002082,Waiver of Premium,0,67.56,Active
COV00003270,POL0002083,Base Death Benefit,125000,0.00,Active
COV00003271,POL0002084,Base Death Benefit,575000,0.00,Active
COV00003272,POL0002084,Accidental Death Benefit,575000,69.00,Active
COV00003273,POL0002085,Base Death Benefit,1100000,0.00,Active
COV00003274,POL0002085,Waiver of Premium,0,78.10,Active
COV00003275,POL0002086,Base Death Benefit,150000,0.00,Active
COV00003276,POL0002087,Base Death Benefit,1000000,0.00,Active
COV00003277,POL0002087,Chronic Illness Rider,0,520.00,Active
COV00003278,POL0002088,Base Death Benefit,100000,0.00,Active
COV00003279,POL0002089,Base Death Benefit,200000,0.00,Active
COV00003280,POL0002089,Waiver of Premium,0,42.55,Active
COV00003281,POL0002090,Base Death Benefit,175000,0.00,Active
COV00003282,POL0002091,Base Death Benefit,575000,0.00,Active
COV00003283,POL0002092,Base Death Benefit,100000,0.00,Active
COV00003284,POL0002092,Waiver of Premium,0,64.79,Active
COV00003285,POL0002093,Base Death Benefit,125000,0.00,Active
COV00003286,POL0002094,Base Death Benefit,1050000,0.00,Active
COV00003287,POL0002095,Base Death Benefit,100000,0.00,Active
COV00003288,POL0002096,Base Death Benefit,100000,0.00,Active
COV00003289,POL0002097,Base Death Benefit,175000,0.00,Active
COV00003290,POL0002098,Base Death Benefit,175000,0.00,Active
COV00003291,POL0002098,Waiver of Premium,0,18.23,Active
COV00003292,POL0002099,Base Death Benefit,1150000,0.00,Active
COV00003293,POL0002099,Waiver of Premium,0,124.66,Active
COV00003294,POL0002100,Base Death Benefit,100000,0.00,Active
COV00003295,POL0002101,Base Death Benefit,300000,0.00,Active
COV00003296,POL0002102,Base Death Benefit,400000,0.00,Active
COV00003297,POL0002103,Base Death Benefit,125000,0.00,Active
COV00003298,POL0002103,Waiver of Premium,0,26.81,Active
COV00003299,POL0002104,Base Death Benefit,200000,0.00,Active
COV00003300,POL0002104,Accidental Death Benefit,200000,24.00,Active
COV00003301,POL0002105,Base Death Benefit,1275000,0.00,Active
COV00003302,POL0002105,Waiver of Premium,0,280.00,Active
COV00003303,POL0002106,Base Death Benefit,100000,0.00,Active
COV00003304,POL0002106,Chronic Illness Rider,0,80.08,Active
COV00003305,POL0002107,Base Death Benefit,100000,0.00,Active
COV00003306,POL0002108,Base Death Benefit,400000,0.00,Active
COV00003307,POL0002108,Accidental Death Benefit,400000,48.00,Active
COV00003308,POL0002109,Base Death Benefit,575000,0.00,Active
COV00003309,POL0002110,Base Death Benefit,725000,0.00,Active
COV00003310,POL0002110,Accidental Death Benefit,725000,87.00,Active
COV00003311,POL0002111,Base Death Benefit,425000,0.00,Active
COV00003312,POL0002111,Chronic Illness Rider,0,266.78,Active
COV00003313,POL0002111,Accidental Death Benefit,425000,51.00,Active
COV00003314,POL0002112,Base Death Benefit,425000,0.00,Active
COV00003315,POL0002112,Accidental Death Benefit,425000,51.00,Active
COV00003316,POL0002113,Base Death Benefit,100000,0.00,Active
COV00003317,POL0002114,Base Death Benefit,450000,0.00,Active
COV00003318,POL0002115,Base Death Benefit,650000,0.00,Active
COV00003319,POL0002115,Waiver of Premium,0,280.00,Active
COV00003320,POL0002116,Base Death Benefit,75000,0.00,Active
COV00003321,POL0002116,Waiver of Premium,0,16.50,Active
COV00003322,POL0002117,Base Death Benefit,850000,0.00,Active
COV00003323,POL0002118,Base Death Benefit,50000,0.00,Active
COV00003324,POL0002118,Chronic Illness Rider,0,124.25,Active
COV00003325,POL0002119,Base Death Benefit,575000,0.00,Active
COV00003326,POL0002119,Waiver of Premium,0,207.92,Active
COV00003327,POL0002120,Base Death Benefit,150000,0.00,Active
COV00003328,POL0002120,Waiver of Premium,0,23.92,Active
COV00003329,POL0002121,Base Death Benefit,850000,0.00,Active
COV00003330,POL0002122,Base Death Benefit,650000,0.00,Active
COV00003331,POL0002122,Accidental Death Benefit,650000,78.00,Active
COV00003332,POL0002123,Base Death Benefit,175000,0.00,Active
COV00003333,POL0002123,Waiver of Premium,0,24.71,Active
COV00003334,POL0002124,Base Death Benefit,125000,0.00,Active
COV00003335,POL0002125,Base Death Benefit,125000,0.00,Active
COV00003336,POL0002125,Waiver of Premium,0,137.15,Active
COV00003337,POL0002126,Base Death Benefit,150000,0.00,Active
COV00003338,POL0002126,Waiver of Premium,0,249.74,Active
COV00003339,POL0002127,Base Death Benefit,650000,0.00,Active
COV00003340,POL0002127,Waiver of Premium,0,121.44,Active
COV00003341,POL0002128,Base Death Benefit,100000,0.00,Active
COV00003342,POL0002129,Base Death Benefit,1100000,0.00,Active
COV00003343,POL0002129,Accidental Death Benefit,1100000,132.00,Active
COV00003344,POL0002130,Base Death Benefit,1150000,0.00,Active
COV00003345,POL0002131,Base Death Benefit,125000,0.00,Active
COV00003346,POL0002132,Base Death Benefit,300000,0.00,Active
COV00003347,POL0002133,Base Death Benefit,125000,0.00,Active
COV00003348,POL0002134,Base Death Benefit,1050000,0.00,Active
COV00003349,POL0002135,Base Death Benefit,1100000,0.00,Active
COV00003350,POL0002135,Accidental Death Benefit,1100000,132.00,Active
COV00003351,POL0002136,Base Death Benefit,850000,0.00,Active
COV00003352,POL0002136,Accidental Death Benefit,850000,102.00,Active
COV00003353,POL0002137,Base Death Benefit,400000,0.00,Active
COV00003354,POL0002137,Waiver of Premium,0,42.21,Active
COV00003355,POL0002137,Accidental Death Benefit,400000,48.00,Active
COV00003356,POL0002138,Base Death Benefit,30000,0.00,Active
COV00003357,POL0002139,Base Death Benefit,100000,0.00,Active
COV00003358,POL0002139,Waiver of Premium,0,24.30,Active
COV00003359,POL0002140,Base Death Benefit,100000,0.00,Active
COV00003360,POL0002141,Base Death Benefit,850000,0.00,Active
COV00003361,POL0002141,Accidental Death Benefit,850000,102.00,Active
COV00003362,POL0002142,Base Death Benefit,425000,0.00,Active
COV00003363,POL0002143,Base Death Benefit,125000,0.00,Active
COV00003364,POL0002144,Base Death Benefit,425000,0.00,Active
COV00003365,POL0002145,Base Death Benefit,1150000,0.00,Active
COV00003366,POL0002145,Chronic Illness Rider,0,520.00,Active
COV00003367,POL0002146,Base Death Benefit,850000,0.00,Active
COV00003368,POL0002147,Base Death Benefit,1000000,0.00,Active
COV00003369,POL0002148,Base Death Benefit,575000,0.00,Active
COV00003370,POL0002149,Base Death Benefit,175000,0.00,Active
COV00003371,POL0002150,Base Death Benefit,200000,0.00,Active
COV00003372,POL0002151,Base Death Benefit,100000,0.00,Active
COV00003373,POL0002152,Base Death Benefit,350000,0.00,Active
COV00003374,POL0002153,Base Death Benefit,650000,0.00,Active
COV00003375,POL0002153,Waiver of Premium,0,105.29,Active
COV00003376,POL0002153,Accidental Death Benefit,650000,78.00,Active
COV00003377,POL0002154,Base Death Benefit,100000,0.00,Active
COV00003378,POL0002155,Base Death Benefit,850000,0.00,Active
COV00003379,POL0002156,Base Death Benefit,575000,0.00,Active
COV00003380,POL0002156,Waiver of Premium,0,41.14,Active
COV00003381,POL0002156,Accidental Death Benefit,575000,69.00,Active
COV00003382,POL0002157,Base Death Benefit,425000,0.00,Active
COV00003383,POL0002158,Base Death Benefit,725000,0.00,Active
COV00003384,POL0002158,Waiver of Premium,0,156.70,Active
COV00003385,POL0002159,Base Death Benefit,425000,0.00,Active
COV00003386,POL0002159,Waiver of Premium,0,88.54,Active
COV00003387,POL0002159,Accidental Death Benefit,425000,51.00,Active
COV00003388,POL0002160,Base Death Benefit,850000,0.00,Active
COV00003389,POL0002161,Base Death Benefit,125000,0.00,Active
COV00003390,POL0002162,Base Death Benefit,125000,0.00,Active
COV00003391,POL0002163,Base Death Benefit,125000,0.00,Active
COV00003392,POL0002164,Base Death Benefit,275000,0.00,Active
COV00003393,POL0002165,Base Death Benefit,200000,0.00,Active
COV00003394,POL0002166,Base Death Benefit,100000,0.00,Active
COV00003395,POL0002166,Waiver of Premium,0,36.90,Active
COV00003396,POL0002167,Base Death Benefit,700000,0.00,Active
COV00003397,POL0002168,Base Death Benefit,850000,0.00,Active
COV00003398,POL0002169,Base Death Benefit,1725000,0.00,Active
COV00003399,POL0002169,Waiver of Premium,0,180.95,Active
COV00003400,POL0002170,Base Death Benefit,200000,0.00,Active
COV00003401,POL0002170,Accidental Death Benefit,200000,24.00,Active
COV00003402,POL0002171,Base Death Benefit,100000,0.00,Active
COV00003403,POL0002172,Base Death Benefit,100000,0.00,Active
COV00003404,POL0002172,Waiver of Premium,0,19.15,Active
COV00003405,POL0002173,Base Death Benefit,125000,0.00,Active
COV00003406,POL0002173,Waiver of Premium,0,20.97,Active
COV00003407,POL0002173,Accidental Death Benefit,125000,15.00,Active
COV00003408,POL0002174,Base Death Benefit,300000,0.00,Active
COV00003409,POL0002175,Base Death Benefit,1100000,0.00,Active
COV00003410,POL0002175,Accidental Death Benefit,1100000,132.00,Active
COV00003411,POL0002176,Base Death Benefit,575000,0.00,Active
COV00003412,POL0002177,Base Death Benefit,925000,0.00,Active
COV00003413,POL0002177,Waiver of Premium,0,221.11,Active
COV00003414,POL0002178,Base Death Benefit,275000,0.00,Active
COV00003415,POL0002179,Base Death Benefit,100000,0.00,Active
COV00003416,POL0002180,Base Death Benefit,125000,0.00,Active
COV00003417,POL0002180,Waiver of Premium,0,10.70,Active
COV00003418,POL0002181,Base Death Benefit,2000000,0.00,Active
COV00003419,POL0002181,Waiver of Premium,0,280.00,Active
COV00003420,POL0002181,Accidental Death Benefit,2000000,220.00,Active
COV00003421,POL0002182,Base Death Benefit,850000,0.00,Active
COV00003422,POL0002182,Waiver of Premium,0,115.90,Active
COV00003423,POL0002183,Base Death Benefit,350000,0.00,Active
COV00003424,POL0002183,Waiver of Premium,0,30.31,Active
COV00003425,POL0002184,Base Death Benefit,575000,0.00,Active
COV00003426,POL0002185,Base Death Benefit,175000,0.00,Active
COV00003427,POL0002186,Base Death Benefit,50000,0.00,Active
COV00003428,POL0002187,Base Death Benefit,75000,0.00,Active
COV00003429,POL0002188,Base Death Benefit,125000,0.00,Active
COV00003430,POL0002188,Waiver of Premium,0,11.20,Active
COV00003431,POL0002189,Base Death Benefit,2000000,0.00,Active
COV00003432,POL0002190,Base Death Benefit,1150000,0.00,Active
COV00003433,POL0002190,Accidental Death Benefit,1150000,138.00,Active
COV00003434,POL0002191,Base Death Benefit,850000,0.00,Active
COV00003435,POL0002192,Base Death Benefit,30000,0.00,Active
COV00003436,POL0002193,Base Death Benefit,575000,0.00,Active
COV00003437,POL0002194,Base Death Benefit,1700000,0.00,Active
COV00003438,POL0002194,Waiver of Premium,0,267.32,Active
COV00003439,POL0002195,Base Death Benefit,425000,0.00,Active
COV00003440,POL0002196,Base Death Benefit,725000,0.00,Active
COV00003441,POL0002196,Waiver of Premium,0,85.61,Active
COV00003442,POL0002196,Accidental Death Benefit,725000,87.00,Active
COV00003443,POL0002197,Base Death Benefit,550000,0.00,Active
COV00003444,POL0002198,Base Death Benefit,175000,0.00,Active
COV00003445,POL0002198,Waiver of Premium,0,87.78,Active
COV00003446,POL0002199,Base Death Benefit,100000,0.00,Active
COV00003447,POL0002200,Base Death Benefit,850000,0.00,Active
COV00003448,POL0002201,Base Death Benefit,125000,0.00,Active
COV00003449,POL0002202,Base Death Benefit,200000,0.00,Active
COV00003450,POL0002203,Base Death Benefit,150000,0.00,Active
COV00003451,POL0002203,Chronic Illness Rider,0,77.20,Active
COV00003452,POL0002204,Base Death Benefit,150000,0.00,Active
COV00003453,POL0002204,Chronic Illness Rider,0,136.73,Active
COV00003454,POL0002205,Base Death Benefit,100000,0.00,Active
COV00003455,POL0002206,Base Death Benefit,100000,0.00,Active
COV00003456,POL0002206,Waiver of Premium,0,14.06,Active
COV00003457,POL0002206,Accidental Death Benefit,100000,12.00,Active
COV00003458,POL0002207,Base Death Benefit,350000,0.00,Active
COV00003459,POL0002207,Accidental Death Benefit,350000,42.00,Active
COV00003460,POL0002208,Base Death Benefit,850000,0.00,Active
COV00003461,POL0002208,Accidental Death Benefit,850000,102.00,Active
COV00003462,POL0002209,Base Death Benefit,350000,0.00,Active
COV00003463,POL0002209,Accidental Death Benefit,350000,42.00,Active
COV00003464,POL0002210,Base Death Benefit,1150000,0.00,Active
COV00003465,POL0002210,Waiver of Premium,0,175.91,Active
COV00003466,POL0002211,Base Death Benefit,200000,0.00,Active
COV00003467,POL0002212,Base Death Benefit,350000,0.00,Active
COV00003468,POL0002212,Waiver of Premium,0,280.00,Active
COV00003469,POL0002213,Base Death Benefit,300000,0.00,Active
COV00003470,POL0002214,Base Death Benefit,100000,0.00,Active
COV00003471,POL0002214,Waiver of Premium,0,9.73,Active
COV00003472,POL0002215,Base Death Benefit,125000,0.00,Active
COV00003473,POL0002215,Accidental Death Benefit,125000,15.00,Active
COV00003474,POL0002216,Base Death Benefit,1050000,0.00,Active
COV00003475,POL0002216,Accidental Death Benefit,1050000,126.00,Active
COV00003476,POL0002217,Base Death Benefit,125000,0.00,Active
COV00003477,POL0002218,Base Death Benefit,100000,0.00,Active
COV00003478,POL0002218,Accidental Death Benefit,100000,12.00,Active
COV00003479,POL0002219,Base Death Benefit,175000,0.00,Active
COV00003480,POL0002220,Base Death Benefit,1450000,0.00,Active
COV00003481,POL0002221,Base Death Benefit,125000,0.00,Active
COV00003482,POL0002222,Base Death Benefit,1000000,0.00,Active
COV00003483,POL0002222,Waiver of Premium,0,280.00,Active
COV00003484,POL0002222,Chronic Illness Rider,0,520.00,Active
COV00003485,POL0002223,Base Death Benefit,150000,0.00,Active
COV00003486,POL0002224,Base Death Benefit,425000,0.00,Active
COV00003487,POL0002224,Chronic Illness Rider,0,193.52,Active
COV00003488,POL0002225,Base Death Benefit,125000,0.00,Active
COV00003489,POL0002226,Base Death Benefit,1000000,0.00,Active
COV00003490,POL0002227,Base Death Benefit,350000,0.00,Active
COV00003491,POL0002228,Base Death Benefit,100000,0.00,Active
COV00003492,POL0002229,Base Death Benefit,75000,0.00,Active
COV00003493,POL0002229,Waiver of Premium,0,35.98,Active
COV00003494,POL0002230,Base Death Benefit,1150000,0.00,Active
COV00003495,POL0002231,Base Death Benefit,575000,0.00,Active
COV00003496,POL0002231,Waiver of Premium,0,280.00,Active
COV00003497,POL0002232,Base Death Benefit,100000,0.00,Active
COV00003498,POL0002232,Waiver of Premium,0,38.98,Active
COV00003499,POL0002233,Base Death Benefit,400000,0.00,Active
COV00003500,POL0002234,Base Death Benefit,350000,0.00,Active
COV00003501,POL0002234,Waiver of Premium,0,49.98,Active
COV00003502,POL0002234,Accidental Death Benefit,350000,42.00,Active
COV00003503,POL0002235,Base Death Benefit,75000,0.00,Active
COV00003504,POL0002236,Base Death Benefit,150000,0.00,Active
COV00003505,POL0002236,Chronic Illness Rider,0,163.03,Active
COV00003506,POL0002237,Base Death Benefit,25000,0.00,Active
COV00003507,POL0002238,Base Death Benefit,650000,0.00,Active
COV00003508,POL0002238,Waiver of Premium,0,214.31,Active
COV00003509,POL0002239,Base Death Benefit,400000,0.00,Active
COV00003510,POL0002239,Waiver of Premium,0,34.43,Active
COV00003511,POL0002239,Accidental Death Benefit,400000,48.00,Active
COV00003512,POL0002240,Base Death Benefit,725000,0.00,Active
COV00003513,POL0002240,Accidental Death Benefit,725000,87.00,Active
COV00003514,POL0002241,Base Death Benefit,150000,0.00,Active
COV00003515,POL0002242,Base Death Benefit,275000,0.00,Active
COV00003516,POL0002242,Accidental Death Benefit,275000,33.00,Active
COV00003517,POL0002243,Base Death Benefit,400000,0.00,Active
COV00003518,POL0002244,Base Death Benefit,75000,0.00,Active
COV00003519,POL0002244,Waiver of Premium,0,25.34,Active
COV00003520,POL0002245,Base Death Benefit,1450000,0.00,Active
COV00003521,POL0002246,Base Death Benefit,850000,0.00,Active
COV00003522,POL0002247,Base Death Benefit,725000,0.00,Active
COV00003523,POL0002248,Base Death Benefit,350000,0.00,Active
COV00003524,POL0002248,Chronic Illness Rider,0,264.12,Active
COV00003525,POL0002249,Base Death Benefit,850000,0.00,Active
COV00003526,POL0002249,Waiver of Premium,0,168.73,Active
COV00003527,POL0002249,Accidental Death Benefit,850000,102.00,Active
COV00003528,POL0002250,Base Death Benefit,100000,0.00,Active
COV00003529,POL0002250,Waiver of Premium,0,12.25,Active
COV00003530,POL0002251,Base Death Benefit,100000,0.00,Active
COV00003531,POL0002252,Base Death Benefit,150000,0.00,Active
COV00003532,POL0002252,Accidental Death Benefit,150000,18.00,Active
COV00003533,POL0002253,Base Death Benefit,1150000,0.00,Active
COV00003534,POL0002254,Base Death Benefit,650000,0.00,Active
COV00003535,POL0002254,Waiver of Premium,0,199.88,Active
COV00003536,POL0002255,Base Death Benefit,1700000,0.00,Active
COV00003537,POL0002256,Base Death Benefit,2500000,0.00,Active
COV00003538,POL0002257,Base Death Benefit,350000,0.00,Active
COV00003539,POL0002258,Base Death Benefit,150000,0.00,Active
COV00003540,POL0002258,Waiver of Premium,0,21.95,Active
COV00003541,POL0002259,Base Death Benefit,125000,0.00,Active
COV00003542,POL0002260,Base Death Benefit,425000,0.00,Active
COV00003543,POL0002261,Base Death Benefit,40000,0.00,Active
COV00003544,POL0002261,Accidental Death Benefit,40000,4.80,Active
COV00003545,POL0002262,Base Death Benefit,400000,0.00,Active
COV00003546,POL0002262,Waiver of Premium,0,87.37,Active
COV00003547,POL0002263,Base Death Benefit,125000,0.00,Active
COV00003548,POL0002263,Waiver of Premium,0,14.65,Active
COV00003549,POL0002264,Base Death Benefit,1450000,0.00,Active
COV00003550,POL0002265,Base Death Benefit,1150000,0.00,Active
COV00003551,POL0002265,Chronic Illness Rider,0,520.00,Active
COV00003552,POL0002266,Base Death Benefit,425000,0.00,Active
COV00003553,POL0002267,Base Death Benefit,1100000,0.00,Active
COV00003554,POL0002267,Accidental Death Benefit,1100000,132.00,Active
COV00003555,POL0002268,Base Death Benefit,175000,0.00,Active
COV00003556,POL0002269,Base Death Benefit,1000000,0.00,Active
COV00003557,POL0002270,Base Death Benefit,100000,0.00,Active
COV00003558,POL0002270,Accidental Death Benefit,100000,12.00,Active
COV00003559,POL0002271,Base Death Benefit,175000,0.00,Active
COV00003560,POL0002272,Base Death Benefit,125000,0.00,Active
COV00003561,POL0002273,Base Death Benefit,125000,0.00,Active
COV00003562,POL0002274,Base Death Benefit,850000,0.00,Active
COV00003563,POL0002274,Waiver of Premium,0,280.00,Active
COV00003564,POL0002275,Base Death Benefit,400000,0.00,Active
COV00003565,POL0002276,Base Death Benefit,15000,0.00,Active
COV00003566,POL0002277,Base Death Benefit,400000,0.00,Active
COV00003567,POL0002278,Base Death Benefit,175000,0.00,Active
COV00003568,POL0002278,Accidental Death Benefit,175000,21.00,Active
COV00003569,POL0002279,Base Death Benefit,425000,0.00,Active
COV00003570,POL0002279,Waiver of Premium,0,64.44,Active
COV00003571,POL0002280,Base Death Benefit,50000,0.00,Active
COV00003572,POL0002280,Chronic Illness Rider,0,79.29,Active
COV00003573,POL0002281,Base Death Benefit,300000,0.00,Active
COV00003574,POL0002281,Chronic Illness Rider,0,520.00,Active
COV00003575,POL0002282,Base Death Benefit,275000,0.00,Active
COV00003576,POL0002282,Waiver of Premium,0,33.19,Active
COV00003577,POL0002283,Base Death Benefit,300000,0.00,Active
COV00003578,POL0002283,Waiver of Premium,0,58.96,Active
COV00003579,POL0002284,Base Death Benefit,150000,0.00,Active
COV00003580,POL0002284,Waiver of Premium,0,38.67,Active
COV00003581,POL0002285,Base Death Benefit,275000,0.00,Active
COV00003582,POL0002285,Waiver of Premium,0,53.59,Active
COV00003583,POL0002286,Base Death Benefit,425000,0.00,Active
COV00003584,POL0002287,Base Death Benefit,650000,0.00,Active
COV00003585,POL0002287,Waiver of Premium,0,88.29,Active
COV00003586,POL0002288,Base Death Benefit,30000,0.00,Active
COV00003587,POL0002289,Base Death Benefit,300000,0.00,Active
COV00003588,POL0002289,Waiver of Premium,0,280.00,Active
COV00003589,POL0002289,Chronic Illness Rider,0,520.00,Active
COV00003590,POL0002289,Accidental Death Benefit,300000,36.00,Active
COV00003591,POL0002290,Base Death Benefit,550000,0.00,Active
COV00003592,POL0002291,Base Death Benefit,1150000,0.00,Active
COV00003593,POL0002291,Waiver of Premium,0,280.00,Active
COV00003594,POL0002292,Base Death Benefit,100000,0.00,Active
COV00003595,POL0002292,Waiver of Premium,0,40.11,Active
COV00003596,POL0002293,Base Death Benefit,150000,0.00,Active
COV00003597,POL0002293,Waiver of Premium,0,74.72,Active
COV00003598,POL0002294,Base Death Benefit,400000,0.00,Active
COV00003599,POL0002294,Waiver of Premium,0,280.00,Active
COV00003600,POL0002295,Base Death Benefit,300000,0.00,Active
COV00003601,POL0002296,Base Death Benefit,200000,0.00,Active
COV00003602,POL0002297,Base Death Benefit,1850000,0.00,Active
COV00003603,POL0002297,Waiver of Premium,0,225.47,Active
COV00003604,POL0002298,Base Death Benefit,125000,0.00,Active
COV00003605,POL0002298,Chronic Illness Rider,0,179.16,Active
COV00003606,POL0002299,Base Death Benefit,1100000,0.00,Active
COV00003607,POL0002299,Chronic Illness Rider,0,520.00,Active
COV00003608,POL0002300,Base Death Benefit,850000,0.00,Active
COV00003609,POL0002301,Base Death Benefit,850000,0.00,Active
COV00003610,POL0002301,Waiver of Premium,0,280.00,Active
COV00003611,POL0002301,Chronic Illness Rider,0,520.00,Active
COV00003612,POL0002302,Base Death Benefit,100000,0.00,Active
COV00003613,POL0002303,Base Death Benefit,550000,0.00,Active
COV00003614,POL0002304,Base Death Benefit,1275000,0.00,Active
COV00003615,POL0002304,Waiver of Premium,0,280.00,Active
COV00003616,POL0002305,Base Death Benefit,350000,0.00,Active
COV00003617,POL0002305,Waiver of Premium,0,63.72,Active
COV00003618,POL0002306,Base Death Benefit,150000,0.00,Active
COV00003619,POL0002306,Chronic Illness Rider,0,143.59,Active
COV00003620,POL0002307,Base Death Benefit,20000,0.00,Active
COV00003621,POL0002308,Base Death Benefit,125000,0.00,Active
COV00003622,POL0002308,Waiver of Premium,0,19.67,Active
COV00003623,POL0002309,Base Death Benefit,850000,0.00,Active
COV00003624,POL0002309,Waiver of Premium,0,280.00,Active
COV00003625,POL0002309,Accidental Death Benefit,850000,102.00,Active
COV00003626,POL0002310,Base Death Benefit,850000,0.00,Active
COV00003627,POL0002311,Base Death Benefit,125000,0.00,Active
COV00003628,POL0002311,Waiver of Premium,0,207.67,Active
COV00003629,POL0002312,Base Death Benefit,650000,0.00,Active
COV00003630,POL0002312,Waiver of Premium,0,280.00,Active
COV00003631,POL0002313,Base Death Benefit,925000,0.00,Active
COV00003632,POL0002314,Base Death Benefit,275000,0.00,Active
COV00003633,POL0002314,Chronic Illness Rider,0,408.61,Active
COV00003634,POL0002315,Base Death Benefit,825000,0.00,Active
COV00003635,POL0002316,Base Death Benefit,850000,0.00,Active
COV00003636,POL0002316,Waiver of Premium,0,105.67,Active
COV00003637,POL0002317,Base Death Benefit,1450000,0.00,Active
COV00003638,POL0002317,Waiver of Premium,0,280.00,Active
COV00003639,POL0002318,Base Death Benefit,650000,0.00,Active
COV00003640,POL0002318,Accidental Death Benefit,650000,78.00,Active
COV00003641,POL0002319,Base Death Benefit,850000,0.00,Active
COV00003642,POL0002319,Waiver of Premium,0,125.64,Active
COV00003643,POL0002320,Base Death Benefit,275000,0.00,Active
COV00003644,POL0002321,Base Death Benefit,1000000,0.00,Active
COV00003645,POL0002321,Waiver of Premium,0,280.00,Active
COV00003646,POL0002322,Base Death Benefit,100000,0.00,Active
COV00003647,POL0002322,Waiver of Premium,0,13.13,Active
COV00003648,POL0002322,Accidental Death Benefit,100000,12.00,Active
COV00003649,POL0002323,Base Death Benefit,20000,0.00,Active
COV00003650,POL0002324,Base Death Benefit,125000,0.00,Active
COV00003651,POL0002324,Accidental Death Benefit,125000,15.00,Active
COV00003652,POL0002325,Base Death Benefit,1150000,0.00,Active
COV00003653,POL0002325,Waiver of Premium,0,280.00,Active
